taxRank,taxID,Max,Active,Post_aestivation,Aestivation,Domain,Phylum,Class,Order,Family,Genera
U,0,662,662,635,202,unclassified,,,,,
P,905,766,766,12,6,Bacteria,Bacteroidetes,,,,
C,912,759,759,12,6,Bacteria,Bacteroidetes,Bacteroidia,,,
O,913,696,696,11,4,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,,
F,960,549,549,3,2,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,
G,11183,400,400,1,2,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella9
G,11182,33,33,2,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella7
G,11179,32,32,0,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella1
G,11180,6,6,0,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella2
G,963,4,4,0,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella
G,962,3,3,0,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Paraprevotella
G,961,2,2,0,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella
G,964,2,2,0,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,uncultured
G,11185,2,2,0,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,NK3B31_group
G,11181,1,1,0,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella6
G,918,35,35,1,1,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
G,11191,10,10,0,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,RC9_gut_group
G,968,5,5,0,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
G,24660,10,10,2,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides
F,24634,7,7,1,1,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,
F,24619,5,5,0,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Marinilabiliaceae,
G,24623,2,2,0,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Marinilabiliaceae,Carboxylicivirga
