# Constructed from biom file
#OTU ID	abundancia_total	Activo	Post_estivacion	Estivacion
Prevotellaceae	1034.0	1034.0	6.0	4.0
Veillonellaceae	115.0	115.0	2.0	0.0
Peptostreptococcaceae	78.0	78.0	3.0	0.0
Ruminococcaceae	51.0	51.0	0.0	0.0
Burkholderiaceae	43.0	39.0	20.0	0.0
Pseudohongiellaceae	37.0	37.0	2.0	0.0
Bacteroidaceae	35.0	35.0	1.0	1.0
Lachnospiraceae	37.0	35.0	4.0	4.0
Enterobacteriaceae	83.0	30.0	18.0	81.0
Rikenellaceae	15.0	15.0	0.0	0.0
Mycoplasmataceae	181.0	14.0	4.0	179.0
Acidaminococcaceae	12.0	12.0	0.0	0.0
Bacillaceae	11.0	11.0	3.0	4.0
Tannerellaceae	10.0	10.0	2.0	0.0
Flavobacteriaceae	9.0	9.0	0.0	0.0
Marinilabiliaceae	9.0	9.0	0.0	0.0
Bifidobacteriaceae	8.0	8.0	0.0	0.0
Clostridiaceae	8.0	8.0	0.0	0.0
Moraxellaceae	8.0	8.0	0.0	0.0
Erysipelotrichaceae	7.0	7.0	0.0	1.0
Muribaculaceae	7.0	7.0	1.0	1.0
Pasteurellaceae	7.0	7.0	0.0	0.0
Rhodobacteraceae	7.0	7.0	0.0	0.0
Saprospiraceae	7.0	7.0	0.0	1.0
Pseudomonadaceae	6.0	6.0	3.0	1.0
Chitinophagaceae	5.0	5.0	0.0	0.0
Coriobacteriaceae	5.0	5.0	1.0	0.0
Sphingobacteriaceae	6.0	5.0	1.0	0.0
Marinobacteraceae	4.0	4.0	1.0	0.0
Micrococcaceae	4.0	4.0	1.0	0.0
Prolixibacteraceae	4.0	4.0	0.0	0.0
Weeksellaceae	4.0	4.0	0.0	0.0
Xanthomonadaceae	4.0	4.0	1.0	0.0
Lentimicrobiaceae	3.0	3.0	0.0	0.0
Neisseriaceae	3.0	3.0	0.0	0.0
Peptococcaceae	3.0	3.0	0.0	0.0
Rhizobiaceae	3.0	3.0	0.0	0.0
Rhodothermaceae	3.0	3.0	0.0	0.0
Streptomycetaceae	3.0	3.0	0.0	0.0
Succinivibrionaceae	3.0	3.0	0.0	0.0
Actinomarinaceae	2.0	2.0	0.0	0.0
Bacteroidales_UCG-nana1	2.0	2.0	0.0	0.0
Corynebacteriaceae	2.0	2.0	0.0	0.0
Dermabacteraceae	2.0	2.0	0.0	0.0
Desulfobacteraceae	2.0	2.0	0.0	0.0
EC94	2.0	2.0	0.0	0.0
Fusobacteriaceae	2.0	2.0	1.0	0.0
Hymenobacteraceae	2.0	2.0	0.0	0.0
Lactobacillaceae	2.0	2.0	0.0	1.0
Paludibacteraceae	2.0	2.0	0.0	0.0
Planococcaceae	2.0	2.0	0.0	1.0
Propionibacteriaceae	20.0	2.0	19.0	3.0
SB-5	2.0	2.0	0.0	0.0
Sphingomonadaceae	3.0	2.0	1.0	0.0
Streptococcaceae	2.0	2.0	0.0	0.0
Vibrionaceae	2.0	2.0	0.0	0.0
Xanthobacteraceae	3.0	2.0	1.0	2.0
Aeromonadaceae	1.0	1.0	0.0	0.0
Anaerolineaceae	2.0	1.0	2.0	0.0
Atopobiaceae	1.0	1.0	0.0	0.0
Bacteroidetes_BD2-2	1.0	1.0	0.0	0.0
Beijerinckiaceae	1.0	1.0	0.0	0.0
Campylobacteraceae	1.0	1.0	0.0	0.0
Caulobacteraceae	2.0	1.0	0.0	1.0
Chitinimonadaceae	1.0	1.0	0.0	0.0
Chitinivibrionaceae	1.0	1.0	0.0	0.0
Cyclobacteriaceae	1.0	1.0	0.0	0.0
Dysgonomonadaceae	1.0	1.0	0.0	0.0
Enterococcaceae	1.0	1.0	0.0	0.0
FamilyXI	1.0	1.0	0.0	0.0
FamilyXII	1.0	1.0	0.0	0.0
Flammeovirgaceae	1.0	1.0	0.0	0.0
Halomonadaceae	1.0	1.0	0.0	0.0
Idiomarinaceae	1.0	1.0	0.0	0.0
Kineosporiaceae	1.0	1.0	0.0	0.0
Kryptoniaceae	1.0	1.0	0.0	0.0
Labraceae	1.0	1.0	0.0	0.0
Leuconostocaceae	1.0	1.0	0.0	1.0
Marinifilaceae	1.0	1.0	0.0	0.0
Methylophilaceae	2.0	1.0	0.0	1.0
MgMjR-na22	1.0	1.0	0.0	0.0
Microbacteriaceae	1.0	1.0	0.0	0.0
Microcystaceae	1.0	1.0	0.0	0.0
Micromonosporaceae	1.0	1.0	0.0	0.0
Nitrosomonadaceae	1.0	1.0	0.0	0.0
Nocardioidaceae	2.0	1.0	1.0	1.0
Nocardiopsaceae	1.0	1.0	0.0	0.0
Nostocaceae	1.0	1.0	0.0	0.0
PLTA13	1.0	1.0	0.0	0.0
Pirellulaceae	2.0	1.0	1.0	0.0
Porphyromonadaceae	1.0	1.0	1.0	0.0
